Name,Text,IsDecision,Options,NextLines,AffinityChange
Syn,"¡Querida! ¡Lo has conseguido! ¡Sabía que podrías lograrlo! ¡No sé cómo agradecértelo!",,,,
Syn,"Tranquila. Por supuesto, estás invitada a nuestra increíble casa a pasar las noches ¡Eres nuestra invitada de honor! Me siento feliz de que te unas a nuestra familia. La verdad, pareces muy buena chica ¡Estoy deseando presentarte al resto!",,,,
Syn,"Aunque... Torpere sigue sin aparecer... ¿Dónde estará? Estoy empezando a preocuparme de verdad... Con lo miedoso que es él, debe de estar aterrorizado... Tal vez debería salir de nuevo a buscarlo... ¿Te importa quedarte con el pequeño Munin por mí?",,,,
Aster,"¿Estás segura? Ya casi es de noche y el bosque es grande y la verdad es que sí que da un poco de miedo... ¿Crees que realmente se habrá perdido o...?",,,,
Syn,"No estoy segura, pero al menos antes de que anochezca iré a buscarle. No puedo abandonar a su suerte a un miembro de la familia.",,,,
Syn,"Antes de irme, me gustaría presentarte al pequeño Munin. Como ya has podido ver, es un niño increíblemente adorable y dulce, creativo y algo tímido, sé que os vais a llevar muy bien.",,,,
Syn,"Por favor, quedaos dentro de casa, a salvo mientras yo busco a Torpere. Estoy segura de que Októ también vendrá a casa en un rato con vosotros, así que no os preocupéis. Yo volveré lo antes posible, os lo prometo.",,,,
Aster,"Está bien, Munin y yo nos quedaremos juntos esperándote. Ten cuidado...",,,,
Syn,"Lo tendré ¡Os lo prometo!",,,,
Aster,"Por cierto, Syn. No me he presentado aún. Me llamo As-",,,,
????,"(Un sonido atronador y una voz femenina gritando.)",,,,
